Name,Price,Rating
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,599",4.3
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,599",4.3
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹6,999",4.2
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,599",4.3
"POCO C51 (Power Black, 64 GB)","₹6,499",4.1
"POCO C55 (Power Black, 128 GB)","₹8,499",4.2
"POCO C55 (Forest Green, 128 GB)","₹8,499",4.2
"POCO C51 (Royal Blue, 64 GB)","₹6,499",4.1
"POCO C50 (Royal Blue, 32 GB)","₹5,499",4.2
"POCO C55 (Cool Blue, 128 GB)","₹8,499",4.2
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹10,599",4.3
"realme C53 (Champion Gold, 64 GB)","₹10,999",4.6
"realme C53 (Champion Black, 64 GB)","₹10,999",4.6
"realme C53 (Champion Gold, 128 GB)","₹9,999",4.2
"APPLE iPhone 13 (Midnight, 128 GB)","₹58,499",4.7
"POCO C50 (Country Green, 32 GB)","₹5,499",4.2
"Infinix SMART 7 (Azure Blue, 64 GB)","₹6,999",4.3
"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999",4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999",4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",4.4
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹14,999",4.1
"Infinix Smart 7 HD (Ink Black, 64 GB)","₹5,999",4.3
"Infinix Smart 7 HD (Jade White, 64 GB)","₹5,999",4.3
